TransactionId,Hour,VoidsAmount,IsVoidFollowedByDrawerOpen,IsVoided,IsReturn,IsReceiptReprinted,NonScannedItems,ManualOverrideAmount,ReturnsAmount,PriceLookupTrxTotalAmount,VoidedItemsAmount,DiscountAmount,IsTrainingMode,TotalAmount,ItemCount,StoreId,BusinessDate,MaxWeightToPriceRatioItemId,IsFraud
tr168,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,25.88,12,17,09/07/2023,2.07E+11,FALSE
tr169,11,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,18.36,6,2,09/05/2023,40530,FALSE
tr170,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.74,6,40,09/07/2023,,FALSE
tr171,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,5.64,3,38,09/07/2023,,FALSE
tr172,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,6.91,5,32,09/01/2023,,FALSE
tr173,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,27.05,17,11,09/04/2023,40870,FALSE
tr174,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,7.14,3,32,09/07/2023,74200,FALSE
tr175,14,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,23.71,11,12,09/04/2023,41280,FALSE
tr176,14,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,34.11,16,9,09/06/2023,40650,FALSE
tr177,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,10.17,5,31,09/05/2023,2.04E+11,FALSE
tr178,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,87.66,18,31,09/04/2023,2.07E+11,FALSE
tr179,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,1.47,2,29,09/07/2023,,FALSE
tr180,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.68,9,37,09/04/2023,,FALSE
tr181,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,32.93,10,24,09/06/2023,2.01E+11,FALSE
tr182,16,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,9.44,5,7,09/04/2023,46630,FALSE
tr183,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,28.65,12,3,09/05/2023,2.07E+11,FALSE
tr184,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.65,7,34,09/01/2023,,FALSE
tr185,11,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,49.25,14,36,09/05/2023,2.03E+11,FALSE
tr186,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,14.48,5,27,09/05/2023,2.04E+11,FALSE
tr187,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,45.84,17,29,09/06/2023,,FALSE
